brand,model,screen_size,ram,storage,cpu_model,operating_system,price,rating,review_count,graphic
Lenovo,IdeaPad Slim 5,14.0,16,1024,Core i5,‎Windows 11 Home,80190.0,3.8,32,Integrated
Dell,dell Latitude 5420,14.0,256,256,Core i5 Family,‎Windows 10 Pro,34989.0,1.0,1,Integrated
Lenovo,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,2690.0,4.5,96,Integrated
Lenovo,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,2690.0,4.5,96,Integrated
MSI,Thin 15,15.748031496062993,16,512,Core i7,‎Windows 11 Home,64990.0,3.9,3,Dedicated
MSI,Thin 15,15.748031496062993,16,512,Core i5,‎Windows 11 Home,61990.0,4.0,31,Dedicated
HP,HP Laptop,15.6,16,512,Intel Core i5,‎Windows 11 Home,56990.0,3.8,122,Integrated
Lenovo,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,799.0,3.9,1354,Integrated
Lenovo,LOQ,15.6,24,512,Ryzen 5,‎Windows 11 Home,75156.0,5.0,1,Dedicated
Apple,MacBook Air,13.6,16,512,Intel Core i5,Windows 11 Home,116990.0,4.6,111,Integrated
Lenovo,IdeaPad,14.0,16,512,Core i3,"‎Windows 11 Home 64, English",35990.0,4.0,493,Integrated
Lenovo,LOQ,15.6,16,512,Intel Core i5,‎Windows 11,78190.0,4.0,257,Dedicated
Lenovo,IdeaPad,15.6,16,512,Ryzen 5,‎Windows 11 Home,39490.0,4.0,267,Integrated
HP,HP Laptop,15.6,8,512,Intel Core i3,‎Windows 11 Home,34990.0,3.8,99,Integrated
Lenovo,Legion 5,16.0,16,1024,Intel Core i7,‎Windows 11 Home,169990.0,4.8,5,Dedicated
FUTOPIA,NU14U3CNC43BN-MB,14.1,4,128,Celeron N4020,‎windows home 11,12990.0,3.7,29,Integrated
ASUS,Vivobook Go 15 (2023),15.6,16,512,Ryzen 5,‎Windows 11 Home,40990.0,3.9,142,Integrated
HP,HP Laptop,15.590551181102363,8,512,Ryzen 3,‎Windows,30442.0,4.0,1506,Integrated
Lenovo,IdeaPad,14.0,16,512,Intel Core i5,‎Windows 11 Home,52890.0,3.9,488,Integrated
MSI,Cyborg 14,14.173228346456693,8,512,Intel Core i5,‎Windows 11 Home,56990.0,5.0,1,Dedicated
Chuwi,GemiBook Plus,15.6,8,256,Intel Core i5,‎Windows 11,20990.0,3.5,321,Integrated
Lenovo,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,495.0,4.3,77434,Integrated
Acer,Aspire Lite,15.6,16,64,Intel Core i5,‎Windows 11 Home,51988.0,4.0,1,Integrated
amazon basics,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,249.0,4.1,2466,Integrated
HP,245 G9,14.0,8,512,Ryzen 3 3250U,‎Windows 11 Pro,24890.0,3.3,15,Integrated
Lenovo,IdeaPad 3,15.0,16,512,Core i3,"‎Windows 11 Home 64, English",35950.0,4.1,1054,Integrated
HP,HP Victus,15.590551181102363,16,1024,Intel Core i7,‎Windows 11 Home,89990.0,3.3,17,Dedicated
Lenovo,IdeaPad,14.0,16,512,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
HP,HP Laptop,15.590551181102363,16,512,Intel Core i5,‎Windows 11 Home,52990.0,3.9,370,Integrated
